representative,fold,model_policy,training_dictionary_lines,model_bytes,model_sha256,fingerprint,nodes,format_version,traversal_direction,case_processing_mode,diacritic_processing_mode,reduction_mode
shortest,0,GS1,24173,845663,41175c04dcaf5600f95ebcc4dc33efc3f03ea14aace257e494222ba8f6a986be,bd51ffae50e02b7e6a4f4587e6259acf00b3f60430351647ba1b6821c0071b36,91312,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
shortest,0,GS2,39550,284795,c01b913c1fcfeaba6b00891d5ca24b2ae6e9073012f0a03cf73aec3044d12cca,8252bbcbad20c3a8e501e81aa1cbb4811f8b1194261463c7139d1753db067114,31612,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
shortest,1,GS1,24171,856537,f599c81403973a1fda5c8dada707469b7466e2791bc832015bf4f2b050339e29,0cf1c64294815dd0445e8bf03d116af44a991e4078910cf1fa6fd172121497c3,92269,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
shortest,1,GS2,39516,286336,05276623270c201b07a200c044933a2ebf437a328e26b4c28c168b72c9dbb93a,e35fe7f71082e55aa781806b789fc570033b3096567dbd6c3b184e511ceaa472,31629,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
shortest,2,GS1,24171,839881,ecd93e6450482c7d5cfdf7cb080e3af1d036ad0f58cd5b8057655886f060ea7a,eeb30a58710165cadb01a34f32a6e7723f9001e93807f6ad90f85a34dddaa3a3,90331,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
shortest,2,GS2,39411,286294,bc59f13609b11780c394a7d560742512f2f9e1c3e0546d20936206712048c0a5,4f005e654f265daba631fa81bdcfb585a1fb7e58bd44e4231c949c947e9f5667,31701,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
shortest,3,GS1,24171,847270,24ab2283e7ceaf8a42a03ba25c1802bc041085fbf27fe552c3d6242a09e0fe84,16a1ebe55d22bcd5a6a33aee76dbd2bc580afeedac3df5fef39971ec863dcdee,91598,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
shortest,3,GS2,39453,283556,dc74faa0f6c0023f3f372f847bbc8617e583768a91fc34efa26406e3ba93b5c1,1e0a760c039605cae93f4d1664ce9f83e78c591260f7b378a30d05c09fc27094,31543,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
shortest,4,GS1,24174,848493,c1dd4da17c1ff613f1e86c04b7531b63c81b6ac1a9e856560f2878767eb4a6a3,9192db9e9e3b008d42d3a5ef41139b2acc3acc1fcc2d3d16687901643747f46b,91703,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
shortest,4,GS2,39478,283100,c9897afc0e4b1f3fcbbc53c9c6ac9f976ab0a28ab38a8f73dcfd1bf3f68f7ca3,785170be316a37803992a0e45ca7726c8bee6e91b4c069bb8ff0a1a3d7ef5d8a,31403,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
lexical,0,GS1,24173,1104868,38ce0c1a398b370649cae53566d4507140f4e9f99879d4c4b63fc16102315ca2,a5fbc204f494ed49b1d27eb41b14219dcda5d3a356c890631e62f5f745453826,114294,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
lexical,0,GS2,39550,375788,4bde8f448405c70f568e1723673d4aea8c9789a7db728e67ccd4e6c767e0f52c,56298759ae4a11f4b764485ca22d5d9d0bf11873e96487f5259ef363fd725737,40376,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
lexical,1,GS1,24171,1104979,73126dd7f5eb42b5eee380fa31f16e4657925417b418a9ec8f6b96eae3193ee5,ec50c91a655ff98392be6edced52f17675f477f7e7ddb69664a1af2b23366730,114166,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
lexical,1,GS2,39516,375684,960f4c74b5419184aa2cfa969eba7811101a3ea93293d3ab70203a188cb68583,bbc5ffe71d1959b1df6197e402d58f468cc54a29b697d86960c6a01dd26aff89,40284,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
lexical,2,GS1,24171,1103294,e478ef700f12d90b4d98a7470aee3828302d27251fb3475f3dc9597ddddfd48f,536a61be630077f78b85565a4ffa177dd4680a47e86949b6dce1576f0c4344ec,113669,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
lexical,2,GS2,39411,377458,adcd1ad7032510ca2e35d723743aef0cd7cb5c3b814a15aea91a64f287f8b03f,e7c75e947c939dda14ce1e25e474d04cff19d0173f475220121e5b087c8e0e10,40423,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
lexical,3,GS1,24171,1117495,223259562eff4bdc71f956d702e22149a6de65521d3398aa1d24009c03e773a0,b7551093d24f9e61baf5ebb73ee425f3e7da0b98a29e7b0dd8d460b07057448a,115970,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
lexical,3,GS2,39453,376364,108764f9c16ce74f900ab78ddd6df0a2feaa4f13db274a333dec423be630dd10,188780401f0ec8c49bdde201605e6a6829878066f163e34744dcecf6f234fbac,40497,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
lexical,4,GS1,24174,1113014,83ce531999a13fd8dccd2714343bb4af7159c9018ebc8abba8fc35f1c7d34df2,d44ec722a552225bbb60d5ff2ce6fc7e0e9232fbdf00f60539456faca59a56e2,115339,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
lexical,4,GS2,39478,380417,b22ba36849ac9d440c06bd0d0a36a1a782e531a47a8f1136adc0f1f1cb603490,450a572c5ef2751c124fb40a6d2bc96e44a6ab24e46af50c9a35d6469e2ff7b2,40909,7,BACKWARD,LOWERCASE_WITH_LOCALE_ROOT,AS_IS,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS
